=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2018.06.04 09:08:28 =~=~=~=~=~=~=~=~=~=~=~=
show client summary 

Number of Clients................................ 95

                                                       RLAN/
MAC Address       AP Name           Slot Status        WLAN  Auth Protocol         Port Wired PMIPV6 Role
----------------- ----------------- ---- ------------- ----- ---- ---------------- ---- ----- ------ ----------------
00:1c:bf:bb:7e:98 CENTRO-II          0   Associated     3    Yes  802.11g          1    N/A   No     Local           
ac:2b:6e:a2:83:bb ATRIUM-PISO-4      1   Associated     3    Yes  802.11ac(5 GHz)  1    N/A   No     Local           
ac:ee:9e:69:80:ee CENTRO-I           0   Associated     4    Yes  802.11n(2.4 GHz) 1    N/A   No     Local           
b4:bf:f6:3f:2d:93 CENTRO-II          0   Associated     4    Yes  802.11n(2.4 GHz) 1    N/A   No     Local           
b8:1d:aa:f5:0d:af CENTRO-I           0   Authenticated  4    No   802.11n(2.4 GHz) 1    N/A   No     Unassociated    
cc:29:f5:4f:db:de CENTRO-I           1   Associated     4    Yes  802.11ac(5 GHz)  1    N/A   No     Local           
cc:79:4a:47:da:f2 CENTRO-II          0   Associated     4    Yes  802.11n(2.4 GHz) 1    N/A   No     Local           
cc:79:4a:4a:90:ab CENTRO-II          0   Associated     4    Yes  802.11n(2.4 GHz) 1    N/A   No     Local           
cc:79:4a:85:34:a4 CENTROI-OPERACIONES  0   Authenticated  4    No   802.11n(2.4 GHz) 1    N/A   No     Unassociated    
d0:59:e4:50:09:a7 CENTRO-II          0   Associated     4    Yes  802.11n(2.4 GHz) 1    N/A   No     Local           
d0:c5:f3:8f:a8:ee CENTRO-I           1   Associated     4    Yes  802.11ac(5 GHz)  1    N/A   No     Local           
d0:c5:f3:91:6f:5e CENTRO-I           1   Associated     4    Yes  802.11ac(5 GHz)  1    N/A   No     Local           


Would you like to display more entries? (y/n) y

e0:94:67:0e:de:00 CENTRO-I           0   Associated     3    Yes  802.11n(2.4 GHz) 1    N/A   No     Local           
e0:9d:31:30:11:68 ATRIUM-PISO-3      0   Associated     3    Yes  802.11n(2.4 GHz) 1    N/A   No     Local           
e0:9d:31:30:13:10 CENTROI-OPERACIONES  0   Associated     3    Yes  802.11n(2.4 GHz) 1    N/A   No     Local           
e0:9d:31:30:18:b8 ATRIUM-PISO2       0   Associated     3    Yes  802.11n(2.4 GHz) 1    N/A   No     Local           
e0:9d:31:33:bd:20 ATRIUM-PISO-3      0   Associated     3    Yes  802.11n(2.4 GHz) 1    N/A   No     Local           
e0:9d:31:3f:7d:08 CENTRO-II          0   Associated     3    Yes  802.11n(2.4 GHz) 1    N/A   No     Local           
e8:50:8b:d5:66:2b ATRIUM-PISO-4      0   Associated     1    Yes  802.11n(2.4 GHz) 1    N/A   No     Local           
f0:43:47:9f:0c:c5 CENTRO-II          0   Associated     4    Yes  802.11n(2.4 GHz) 1    N/A   No     Local           
f0:d5:bf:30:e2:65 ATRIUM-PISO-4      0   Associated     3    Yes  802.11n(2.4 GHz) 1    N/A   No     Local           


(Cisco Controller) >
